"Пожалуйста, выберите вариант стрижки, а ниже заполните анкету исходя из опыта - параметры клиента, которого вы стригли одним из приведенных способов",Возраст,Форма Лица,Структура волос,Густота волос,Длина волос,Цвет волос,Среднее время на укладку(минут в день),Образ жизни,Стиль,Телосложение,Стиль одежды,Использование укладочных средств,Тип укладки,Использование фена,Unnamed: 16,Unnamed: 17,Unnamed: 18
Классика,29-45,Овальная,Волнистые,Средняя,Короткие,Блонд,10-30,Спортивный/Активный,Смешанный,Спортивное,Casual,Нет,Естественная,Да,Нет,Нет,Раз в месяц
Маллет,29-45,Овальная,Волнистые,Средняя,Длинные,Брюнет,30-40 минут ,Спокойный,Смешанный,Среднее,Деловой,Да,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Базз-кат,29-45,Ромбовидная,Прямые,Высокая,Короткие,Брюнет,10-30,Спортивный/Активный,Экспериментатор,Худощавое,Casual,Да,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Серферская укладка,0-12,Круглая,Кудрявые,Средняя,Длинные,Блонд,25 минут ,Спортивный/Активный,Экспериментатор,Среднее,Спортивный,Нет,Неряшливо-растрепанная,Нет,Нет,Нет,Никогда
Базз-кат,0-12,Овальная,Прямые,Высокая,Короткие,Шатен,0(не укладываете),Творческий,Экспериментатор,Спортивное,Спортивный,Нет,Естественная,Нет,Нет,Нет,Раз в месяц
Базз-кат,19-28,Овальная,Прямые,Низкая,Короткие,Брюнет,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Деловой,Да,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Классика,19-28,Круглая,Прямые,Средняя,Короткие,Брюнет,0(не укладываете),Деловой,Экспериментатор,Спортивное,Casual,Да,Неряшливо-растрепанная,Нет,Нет,Нет,Раз в месяц
Классика,46+,Ромбовидная,Прямые,Средняя,Короткие,Шатен,0(не укладываете),Спортивный/Активный,Минималист,Спортивное,Уличный,Да,Четкая-монолитная,Нет,Да,Нет,Никогда
Помпадур,19-28,Овальная,Волнистые,Средняя,Длинные,Брюнет,25 минут ,Спокойный,Экспериментатор,Спортивное,Casual,Нет,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Крю-кат,29-45,Ромбовидная,Прямые,Средняя,Короткие,Шатен,1-10,Спортивный/Активный,Экспериментатор,Среднее,Уличный,Да,Неряшливо-растрепанная,Да,Нет,Нет,Редко
